St_Direct	St_Discret
101.794	124.052
125.198	89.809
146.858	98.599
116.798	114.896
168.477	137.609
97.7937	144.028
95.6139	79.8124
87.8676	116.99
93.3662	158.416
146.597	88.3833
77.9203	97.1845
139.706	91.0024
101.474	108.628
81.6174	83.8441
111.172	92.2848
164.022	134.242
195.286	149.916
116.123	145.918
132.539	138.555
131.784	116.967
94.0867	93.5629
77.5685	150.559
101.88	98.8896
79.5189	70.5843
121.052	96.0527
102.397	115.723
93.0693	69.6519
128.167	120.362
98.3645	100.244
92.4268	94.771
101.553	74.5298
95.4185	91.026
104.185	109.458
103.792	117.912
102.689	93.0646
119.407	125.28
77.0708	106.635
106.049	132.027
96.8768	99.7377
132.531	107.446
130.336	103.496
110.613	149.151
85.3854	132.381
158.65	82.0924
85.8034	122.187
79.3678	127.593
157.641	107.848
100.924	114.432
82.1987	131.56
78.1964	113.559
128.943	83.221
126.681	101.941
99.9502	99.85
80.1302	111.288
132.028	84.2769
103.436	141.863
172.136	69.4541
124.741	98.4149
97.4092	184.5
93.1416	101.818
94.3437	92.3356
151.817	113.048
111.392	78.7393
169.093	153.338
149.805	127.217
82.1364	78.7766
104.394	143.423
123.536	114.465
76.3593	140.888
106.997	105.553
116.933	115.786
87.8488	102.198
105.813	114.202
143.005	128.511
97.9585	94.3577
139.245	90.8434
82.6754	117.5
150.991	91.0959
152.581	93.7937
121.803	87.8454
75.3096	77.8622
127.165	99.6105
92.4781	89.762
148.182	95.3426
108.853	69.3207
160.307	113.806
104.918	103.402
125.392	127.263
110.569	140.312
141.96	74.3808
88.8593	78.1891
104.691	102.337
147.76	122.054
148.028	106.279
143.864	112.814
95.6024	158.848
133.132	110.499
91.8854	122.419
108.015	138.006
99.6519	108.521
75.4334	85.2175
94.996	109.557
148.724	123.005
107.601	119.541
145.253	161.363
84.5002	130.931
83.1494	75.6526
140.105	191.884
116.63	90.7552
122.751	134.84
104.5	107.989
100.144	89.5587
101.111	128.341
138.376	70.4544
72.9235	142.804
141.692	118.099
115.015	95.0736
115.454	77.8819
125.659	124.461
114.745	117.539
93.3165	111.524
95.9606	89.5519
130.85	108.9
121.856	158.511
126.851	65.6869
77.4742	99.4372
118.138	139.866
74.087	96.3963
128.994	124.987
99.5856	99.9396
142.115	90.3204
158.445	110.996
91.1832	89.7922
156.997	131.998
81.4566	83.2971
137.234	113.274
106.657	84.5507
86.4306	108.065
110.756	120.464
108.902	117.73
219.084	75.458
98.5158	118.081
94.8574	179.382
121.079	169.406
75.4756	122.704
141.062	84.9921
68.9622	83.8674
85.7442	123.239
176.335	118.225
110.471	125.496
141.311	94.7776
90.508	115.384
88.4025	86.7879
129.788	91.9282
85.8263	124.509
60.901	182.09
100.65	113.46
82.2486	136.579
133.042	100.205
77.5426	106.556
105.57	138.619
154.469	109.111
91.6921	161.66
79.2466	139.953
85.9311	85.1361
154.188	112.746
90.1861	128.367
71.3218	98.7538
71.1553	96.4781
96.9326	85.6117
88.4688	148.885
98.458	113.57
94.8861	98.0668
130.348	70.6565
98.0162	69.4908
118.013	137.337
68.4991	84.6258
133.995	88.3399
113.804	122.62
103.667	108.035
98.3491	88.1325
109.608	79.7597
95.5253	119.141
84.8841	68.7021
113.03	81.2252
125.258	93.91
111.689	79.9877
145.534	106.187
138.187	70.3982
140.241	130.276
96.4483	112.375
57.2806	98.9282
116.215	107.685
118.442	74.5449
134.96	94.3096
132.34	104.754
112.394	127.786
79.9512	113.138
85.5955	141.931
83.1165	91.9604
92.6468	97.4523
80.3969	106.247
101.951	70.4017
107.499	104.156
72.1528	96.4174
158.723	110.453
88.8082	151.84
171.173	94.2674
140.473	112.025
134.988	90.5516
119.486	120.206
88.0554	94.5062
111.682	111.264
82.5713	87.6439
92.5238	82.0995
148.508	120.98
135.11	94.7088
104.304	117.704
89.0849	116.007
87.6699	94.9089
99.9777	96.6001
103.279	86.8535
161.232	123.3
110.225	145.868
124.883	128.197
107.099	90.7451
140.753	95.683
94.3438	125.079
91.7815	73.9479
151.058	204.88
105.915	116.396
126.58	153.482
131.642	97.1291
117.384	121.058
110.106	102.577
91.186	101.7
109.043	98.7297
89.581	93.3146
136.128	151.554
112.068	119.179
112.926	111.128
139.959	130.429
118.273	120.582
167.26	126.291
93.6329	95.1035
96.4289	47.4474
167.994	115.186
114.769	102.879
123.357	86.6986
156.255	53.6702
125.629	149.952
148.042	124.977
94.7771	132.501
68.6747	93.2135
135.39	161.344
116.107	120.899
224.322	87.3236
127.06	87.4033
